names,location,max mag,min mag,period
V1247 Her  ,171145.1+301320 ,21.44,21.67,0.05579861
GS    Cet  ,005050.9+000913 ,20.65,20.85,0.0558
V2416 Cyg  ,200304.2+590654 ,13.4,-0.14,0.05589
HV    And  ,004055.4+432500 ,15.2,16.7,     0.055994    :  
V0386 Ser  ,161033.7-010222 ,18.9,19.2,0.056
GX    Peg *,223134.4+293234 ,6.35,-0.02,0.056
QT    Vir  ,135209.3+060005 ,8.5,( 0.02   b),0.0562
EF    Eri *,031413.2-223543 ,14.5,<17.3      ,0.056265923
V0608 Peg  ,234416.2+321042 ,12.21,12.41,0.057163
V0386 Nor  ,162740.0-491025 ,13.52,-0.01,0.0577
V0598 Peg *,233326.0+152222 ,18.3,18.8,0.0577
IL    Leo  ,103100.6+202834 ,18.2,( 1.0    *),0.0578
BY    Cnc *,084210.8+185604 ,7.91,-0.01,0.058
BM    CrB  ,154104.7+360253 ,17.3, 20.   :   ,0.0583
LW    UMa  ,095656.1+412641 ,10.22,10.27,0.0585
OV    Dra *,125023.9+665525 ,19,20.7,0.0587357
NZ    Boo *,150241.0+333424 ,13.7,19.6,0.05890947
V2821 Oph  ,183205.6+071456 ,11.9,-0.01,0.05936
KZ    Hya  ,105054.1-252115 ,9.46,10.26,0.059510421
V0468 Vel  ,084412.3-524619 ,15.25,15.48,0.0596
V0586 Aur  ,045104.9+434647 ,12.05,-0.04,0.05963
HT    Peg  ,235237.1+105650 ,5.3,5.39,0.06
V2498 Cyg *,192403.7+294032 ,11.43,-0.07,0.06
V1228 Tau  ,034724.1+243518 ,7.71,( 0.02   v),0.0603
FL    Cet *,015543.4+002807 ,15.5,-5.9,0.06051621
V0552 Aur *,061409.8+453009 ,11.2,14.5,0.060868
CY    Aqr *,223747.9+013204 ,10.42,11.2,0.061038408
V1004 Ori *,055824.4+015014 ,5.88,5.92,0.0611
NP    TrA  ,163305.2-605413 ,7.88,( 0.03   b),0.0613
PP    Com  ,133100.9+262325 ,7.38,-0.01,0.06230061
V0775 Tau *,042203.5+140438 ,5.72,-0.01,0.0625
V0813 Cen *,132601.5-473636 ,14.6,15,0.06272267
V2801 Oph  ,182432.6+073046 ,12,-0.01,0.06285
V5662 Sgr  ,200551.1-293500 ,15.81,15.98,0.062887
V0340 And  ,233437.5+401411 ,5.69,-0.03,0.063
CL    Dra  ,155747.4+544459 ,4.95,-0.02,0.063
V0390 Cam  ,052923.4+785741 ,13.5,13.85,0.0632385
V0411 Dra  ,184412.0+571241 ,8.7,-0.01,0.063319
alf   Aql  ,195047.0+085206 ,0.77,( 0.004  *),0.06342
V0350 Dra  ,161736.6+561420 ,10.08,-0.05,0.063656
V1105 Cas *,012223.0+582408 ,14.76,14.83,0.063837
V0360 Aps  ,154939.2-762518 ,13.35,13.63,0.0638629
V1199 Sco  ,165401.9-415324 ,13.99,-0.04,     0.064       :  
HU    Cet  ,030556.8-003616 ,20.2,( 0.3    *),     0.064       :  
V2500 Cyg *,192753.1+332226 ,7.65,-0.03,0.0640168
V0536 Peg  ,223954.2+132614 ,12.6,13.2,0.0645804
kap 2 Boo *,141329.0+514724 ,4.5,4.58,0.06479
QQ    Tel  ,193941.8-451643 ,6.53,-0.05,0.065
FZ    Vel *,085852.4-471405 ,5.14,5.17,0.065
BS    Tuc *,010804.0-615218 ,7.43,7.57,0.065
V0534 Ser  ,180841.9-141859 ,12.3,-0.05,0.06527
PW    Aqr  ,205017.9-053627 ,17.75,19.28,0.0654246
DI    Phe  ,235420.4-470021 ,18.6,20.6,0.065538
V0541 Ser  ,182440.2+061004 ,12.5,-0.04,0.06559
OU    Com  ,132118.4+180822 ,15.5,16.8,0.0656853
AK    Ant  ,093456.6-285239 ,8.8,( 0.03   b),0.066
V0723 Lyr *,192357.4+380652 ,8.17,8.21,0.0664549
DR    Gru  ,223418.7-541753 ,7.44,7.51,0.0666
BS    Tri  ,020929.8+283229 ,17,21.5,0.06685
V1058 Cas  ,005158.2+535141 ,14.02,-0.04,0.06695
rho   Tau *,043350.9+145040 ,4.9,-0.01,0.067
ZZ    Mic *,210035.2-423920 ,9.27,9.69,0.0671835
V2807 Oph  ,182733.4+065600 ,10.7,-0.01,0.06734
UU    Ari *,023038.4+195119 ,6.1,6.15,0.0676
QV    Vir  ,141836.7-063738 ,14.69,15.2,0.0676535
V1512 Sco *,173510.2-322904 ,10.03,-0.04,0.068554
V1139 Her  ,155028.5+455752 ,12.65,12.95,0.068587
IU    Eri  ,041636.0-100509 ,7.49,7.55,0.0689
V0387 Nor  ,162743.1-490724 ,13.57,-0.01,0.0689
AX    Tri  ,013149.2+351324 ,14.5,15.1,0.068983
V0392 Gem  ,060813.2+241831 ,16.47,16.8,0.0691
GN    And *,003007.4+294506 ,5.23,-0.05,0.069304115
VV    Pup *,081506.8-190318 ,13.9,18,0.069746826
GU    Vel  ,082736.6-530519 ,5.08,5.11,0.07
V2507 Cyg  ,193802.9+461723 ,14,-0.14,     0.07        :  
AV    Cet  ,012402.5-080027 ,6.2,6.22,0.07
V2448 Cyg  ,212329.8+462238 ,14.67,-0.02,0.07
V0465 Per *,033034.0+473741 ,8.78,-0.02,0.07
BN    Tri  ,015458.0+294737 ,12.15,12.35,0.070037
V2779 Oph  ,180835.8+101030 ,16.1,18.5,0.070037
V0379 Tel *,192832.5-500134 ,17.3,21.05,0.0701623
BU    Cnc *,083944.7+191631 ,7.67,-0.03,0.071
V0479 Vul *,194309.1+231749 ,13.33,-0.04,0.071853
FM    Vir *,124537.1+074024 ,5.2,5.28,0.07188
BW    Cnc *,084052.5+201559 ,8.48,-0.01,0.072
V1119 Cas  ,013259.6+604938 ,13.98,14.07,0.0725
V0912 Ara  ,175031.7-493154 ,12.1,12.4,0.072683
DY    Peg *,230851.2+171256 ,9.95,10.62,0.072926297
XY    Sex  ,102014.5-085346 ,14.43,-0.08,0.0729938
KV    Lib  ,144600.8-101316 ,14.13,14.7,0.0731905
V0668 Lyr *,184421.5+280605 ,7.16,-0.03,0.0732979
V1040 Cas  ,003148.1+570134 ,14.8,-0.4,0.0733
V2820 Oph  ,183118.7+070524 ,12.7,-0.01,0.07343
V1118 Cas  ,013254.8+604245 ,15.82,15.87,     0.0736      :  
V0794 Cep *,011359.0+844526 ,12.5,-0.04,0.0738
BQ    Cnc *,084026.8+201055 ,8.19,-0.02,0.074
AY    For  ,024234.8-280244 ,18.4,20.7,0.0746
V0460 And  ,023414.3+421428 ,13.2,13.8,0.0749808
V0343 Aps  ,144001.3-724307 ,15.6,15.9,0.075
V2443 Cyg  ,212321.5+462259 ,13.87,-0.02,0.075
HQ    Hya  ,081915.1-100957 ,6.29,6.33,0.0755
tet 2 Tau *,042839.7+155215 ,3.35,3.42,0.07564
V2804 Oph  ,182514.8+063353 ,11.5,-0.01,0.07567
V0479 Tau *,035427.2+051029 ,7.39,7.46,0.076
VV    Ari  ,015109.5+203052 ,6.69,6.73,0.0764
V0435 Cam  ,061520.9+820813 ,13.7,14.1,0.077493
PU    UMa *,090103.9+480912 ,16.2,21.2,0.0778805
V1691 Aql  ,192501.5-045304 ,6.82,-0.04,0.0781
V0457 Vel *,084233.3-471135 ,15.31,-0.1,0.0782
V0477 Vul *,194306.8+231637 ,13.46,-0.06,0.0785819
FR    Lyn  ,085414.0+390539 ,18.8,20,0.07865
GP    And *,005518.1+230949 ,10.53,-0.6,0.078682762
V0489 Ser  ,155532.0-001055 ,19.2,21,0.078847
DQ    Cep *,205748.6+552916 ,7.22,7.32,0.07886444
FG    Vir *,121415.5-054300 ,6.53,6.58,0.079
V0620 Her  ,171103.2+241416 ,6.19,6.23,0.0797
AN    UMa *,110425.6+450314 ,14.9,20.2,0.0797522
RX    Sex *,102609.2+035557 ,6.7,-0.02,0.0799
AG    Psc *,003647.3+151354 ,5.81,5.94,0.08
BP    Oct *,152819.1-880759 ,6.46,-0.04,0.08
AS    Tri  ,020358.2+295418 ,8.25,-0.09,0.08
NZ    Pav  ,195101.2-653618 ,6.04,-0.017,     0.08        :  
V2505 Cyg  ,193732.1+461915 ,11.47,-0.02,     0.08        :  
iot   CMa  ,065608.2-170315 ,4.36,4.4,     0.08        :  
CV    Phe  ,021247.1-442920 ,7.84,( 0.02   b),0.08
V0675 And  ,233324.1+484538 ,11.6,-0.04,0.08
KU    Cen  ,115151.7-411710 ,13.4,14.1,0.08000536
V0354 Dra *,164057.2+534109 ,15.06,-0.01,0.0803
V1729 Aql  ,185122.2-031904 ,6.1,-0.03,0.080734
V0482 Peg  ,215832.7+214925 ,12.33,12.54,0.080784
V1237 Her  ,170053.3+400358 ,17.9,19.5,0.0808017
V2442 Cyg  ,212318.6+462124 ,15.49,-0.02,0.081
omi 1 Eri *,041151.9-065015 ,4,4.05,0.0815
DG    Leo *,094950.1+211046 ,6.08,6.12,0.08184505
TU    Crv  ,123558.8-203139 ,6.53,-0.025,0.082
NT    Cam  ,082417.4+743025 ,13.1,13.5,0.082417
V0690 Per  ,033654.3+405540 ,12.2,-0.05,0.083
V2445 Cyg  ,212322.9+462225 ,18.16,-0.07,0.083
DL    UMa *,093641.0+693812 ,7.55,-0.056,0.0831
PP    Aqr  ,204243.8-090545 ,13.55,13.7,0.083195
V0546 Ser  ,182804.1+055813 ,10.3,-0.01,0.08375
V1430 Sco  ,170758.0-342612 ,9.51,9.8,0.083777
V0959 Oph *,181102.3+031046 ,12.4,13.1,0.08446
V1189 Her  ,162936.6+263520 ,18.95,19.58,0.0846
V5505 Sgr  ,180357.9-295700 ,11.1,11.48,0.08493
V2450 Cyg  ,212333.5+462208 ,16.45,-0.03,0.086
AE    UMa *,093653.2+440400 ,10.86,11.52,0.086017055
V0388 Nor  ,162749.1-490643 ,12.43,-0.02,0.0867
HU    Aqr  ,210758.3-051739 ,15,19.8,0.086820416
FM    Aqr  ,224830.2-103320 ,6.16,6.19,0.087
HZ    Vel  ,084952.4-390830 ,6.39,-0.025,0.087
V0550 Aur *,060226.4+495157 ,13.01,13.08,0.087
V1276 Cyg  ,194249.1+291954 ,6.5,6.53,0.088
V0378 Sge *,194534.5+184030 ,12.8,-0.03,0.088
V0668 CrA  ,183224.8-421914 ,8.7,8.76,0.088
KW    Aur *,051524.4+324115 ,4.95,5.08,0.088088
EH    Lib *,145855.9-005653 ,9.35,10.08,0.088413245
DE    CMi  ,080958.5+010114 ,7.96,-0.06,0.088474
V1258 Cen *,130029.0-305257 ,15.4,22.2,0.08885
tet 2 Cru *,120419.2-630957 ,4.7,4.74,0.0889
V2608 Cyg *,211319.7+422527 ,16.64,16.72,0.088957
BT    CrB  ,155657.0+352337 ,18.9,20.4,0.0892
V1212 Sco *,165431.2-415529 ,10.3,-0.04,0.0896
V0528 And  ,012259.8+362817 ,12.8,13.05,0.089613
V0381 Sge  ,200148.7+163045 ,7.81,-0.04,0.0898874
V1517 Sco *,175008.5-370414 ,17.28,17.85,0.089928
V0457 Peg  ,214827.4+223702 ,12.5,12.7,0.090258
alf   Mus *,123711.0-690808 ,2.68,2.73,0.0903
HU    Leo  ,092444.5+080151 ,18.2,21.5,0.0911411
V2795 Oph  ,182210.2+062320 ,12.9,-0.01,0.09225
V2711 Oph *,170523.4+032619 ,7.31,-0.05,0.0931015
RV    Ari *,021507.5+180428 ,11.61,-0.75,0.09312808
V2455 Cyg  ,212824.6+464031 ,8.53,8.97,0.0942075
QS    Dra *,152134.7+612923 ,13,13.45,0.0944226
V0524 And  ,010547.2+443504 ,12.35,12.75,0.094493
V0540 Ser  ,182327.6+061205 ,12.8,-0.04,0.09452
V1116 Her  ,163016.4+165506 ,11.16,11.45,0.094681
AZ    CMi  ,074407.6+022420 ,6.44,6.51,0.09526
V0470 Cam *,071042.1+665544 ,14.1,-0.65,0.09564662
V2812 Oph  ,182858.0+072832 ,12,12.23,0.09568
V0548 Aur *,060205.3+494911 ,15.32,15.42,0.096
CX    Cnc  ,082836.8+240842 ,6.1,-0.025,0.096
V0478 And *,001855.9+223940 ,10.38,10.6,0.096
V0515 Peg  ,221734.8+153133 ,11.24,11.33,0.096321
YZ    UMi  ,153530.2+853739 ,12.15,12.53,0.096605
EW    Aqr  ,211141.3-142821 ,6.41,6.48,0.0968946
sig   Oct  ,210846.8-885723 ,5.45,-0.05,0.097
V2581 Cyg *,211134.4+441200 ,15.5,-0.12,0.09701
V2798 Oph  ,182342.5+062409 ,11.1,-0.01,0.09855
V0463 Vel  ,084244.8-471301 ,15.35,-0.1,0.0993
V0376 Per *,034908.1+435747 ,5.77,5.91,0.09937
V0670 And  ,233037.3+462404 ,10.62,10.91,0.09966
V2754 Oph  ,175137.9+084402 ,15.3,15.9,0.0999541
LY    Aqr *,205107.5-082737 ,22.34,23.24,0.1
CY    Cnc *,083837.9+195923 ,8.14,-0.02,     0.1         :  
BH    Lep *,060502.0-234227 ,17.19,17.26,0.1
V2446 Cyg  ,212323.7+462259 ,17.83,-0.01,0.1
CN    Dra  ,194644.7+682617 ,6.29,-0.09,0.1
V0521 And *,010126.5+380313 ,11.29,-0.04,0.10096
khi   Car *,075646.7-525857 ,3.46,-0.015,0.101
V0920 Sco *,165443.2-414935 ,9.85,-0.043,0.1012
ES    Cir  ,150012.9-625403 ,10.52,11.22,0.101565
V0593 Lyr  ,183206.4+403557 ,11.75,-0.62,0.102141
V0743 Cen *,132822.1-511732 ,8.57,8.82,0.10225435
BT    Cnc *,083942.7+194642 ,6.66,-0.06,0.10228
HM    TrA  ,161932.0-622139 ,14,14.5,0.10235
V0854 Sco  ,161315.7-095324 ,13,13.4,0.10240124
EM    Aqr  ,205508.3-012223 ,6.55,-0.03,0.1024746
XX    Psc  ,004713.6+193443 ,6.13,-0.04,0.104
YZ    Boo  ,152407.0+365201 ,10.3,10.8,0.104092
bet   Cas *,000910.7+590859 ,2.25,2.31,0.1043
V0396 And  ,235133.4+472916 ,7.92,7.95,0.104731
V0738 Tau *,034313.9+240510 ,14.9,16,0.105
AZ    Ant  ,104450.7-352038 ,7.93,7.96,0.105303
AP    CrB  ,155412.4+272151 ,16.5,-0.65,0.105462
V0544 And  ,014428.0+375854 ,12.9,13.5,0.10694
V0494 Sgr  ,191114.4-345346 ,14.2,14.8,0.10761971
V0465 Peg  ,215152.3+174443 ,13.4,13.9,0.1077213
V2441 Cyg  ,212314.1+462440 ,19.17,-0.06,0.108
IS    Vel *,080943.2-475614 ,5.23,           ,0.108
V0652 Her *,164804.7+131542 ,10.5,10.61,0.10800182
V3453 Sgr  ,183008.3-324533 ,15.6,16.1,0.10808
V1084 Her  ,164345.7+340240 ,12.48,12.75,0.1081
V1166 Her  ,162001.8+042841 ,12.5,13.3,0.108157
LT    Vul *,190342.5+211606 ,6.52,6.62,0.109
V0557 Sco  ,175824.5-415030 ,13.2,13.8,0.10947567
BP    Peg *,213313.5+224424 ,11.69,12.28,0.109543375
V0539 Aur *,055150.5+323235 ,16.05,( 0.55  Rc),0.109835
V0588 Mon *,063905.9+094103 ,9.66,9.72,0.11
V1221 Sco  ,165628.6-403328 ,12.5,-0.1,0.11
V2506 Cyg  ,193758.8+461420 ,11.01,-0.13,     0.11        :  
rho   Phe *,005041.2-505913 ,5.17,5.27,     0.110       :  
V1111 Cas  ,013206.5+604527 ,16.97,17.01,0.11
V2818 Oph  ,183059.8+071150 ,10.7,-0.01,0.11008
V1828 Aql  ,202000.5+043757 ,13.13,13.93,0.1103741
V3767 Sgr  ,184124.9-341433 ,16,16.8,0.11063
V2814 Oph  ,182910.2+064351 ,12.9,-0.02,0.11138
V0822 Cep *,203240.4+604541 ,17.52,17.74,0.11142
AI    Vel *,081405.1-443433 ,6.15,6.76,0.11157411
V1217 Sco  ,165609.9-403634 ,13.3,-0.09,0.112
GY    CMa *,071336.5-272123 ,6.12,-0.04,0.112
V0830 Car  ,111236.4-583838 ,8.32,8.36,0.112217
V2770 Oph *,180637.2+100711 ,15.76,16.31,0.1123
V1790 Oph  ,171743.3-192538 ,16.2,16.9,0.1128
V0373 And  ,020546.2+394535 ,7.63,7.69,0.112802
OR    Dra *,120037.5+691108 ,7.4,7.44,0.112829
V0336 Boo  ,154436.6+461922 ,12.35,12.7,0.112892
V5548 Sgr  ,193601.7-244309 ,5.82,-0.04,0.1134
V0865 Sgr  ,191201.2-234038 ,14.4,14.9,0.11359409
DT    CVn  ,125010.7+373101 ,6.04,-0.03,0.114
V0361 And *,010945.3+380728 ,7.79,7.83,0.11405
rho   Pav *,203735.3-613148 ,4.85,-0.055,0.1141
EU    Lyn  ,075240.5+362823 ,17.6,19.5,0.1142
V0691 Per  ,033715.0+405400 ,11.2,-0.03,0.115
V0644 Her *,165516.0+133712 ,6.32,6.36,0.11505449
V0703 Sco *,174216.8-323124 ,7.58,8.04,0.11521772
MX    UMa  ,114752.9+530055 ,8.78,-0.08,0.116
V0372 Car  ,075229.7-542202 ,5.69,-0.027,0.116
KZ    Lac  ,221846.5+503148 ,14.6,15.2,0.11659064
V0647 Pup  ,060747.0-444346 ,6.74,6.78,0.1167053
V1235 Tau  ,043210.2+174318 ,10.96,11,0.1169
V5627 Sgr *,180156.3-272256 ,15.1,16.96,0.117
V1307 Sco  ,173741.7-423105 ,9.89,10.55,0.117031
V0403 Gem *,064401.1+224432 ,12.3,12.7,0.1177
QS    Pup *,074912.9-465128 ,5.84,           ,0.1182
AQ    CrA  ,184034.6-402025 ,14.5,15,0.1187024
V0879 Aql  ,184958.6+105853 ,13.1,14.8,0.118981
DK    Vir *,131625.5-012326 ,6.67,6.72,0.119153
V0475 Ser  ,154946.6+235453 ,12.37,12.6,0.119955
V1679 Ori  ,053426.1-061533 ,15.64,-0.14,0.12
DD    UMa  ,091611.3+540119 ,5.02,-0.03,     0.12        :  
V2504 Cyg  ,193724.1+462352 ,11.52,-0.07,     0.12        :  
KP    Cnc  ,081427.0+204228 ,7.3,-0.04,     0.12        :  
V0484 Hya *,082834.2-130920 ,15.95,16.06,0.1201
SZ    Lyn *,080935.8+442818 ,9.08,9.72,0.12053492
V1277 Tau  ,034654.9+242800 ,16.74,-0.08,0.121
V0367 Cam  ,044055.2+533807 ,10.69,10.9,0.121596
AO    CVn  ,131732.5+403421 ,4.7,4.75,0.12168
DR    Sct  ,185238.1-075659 ,17.5,18.2,0.1225664
AD    CMi  ,075247.2+013550 ,9.21,9.51,0.12297443
BF    Ari *,015141.6+124430 ,15.18,-0.4,0.123
NQ    Tel  ,202932.4-544850 ,14.3,14.8,0.12325
V0896 Cep  ,223715.6+821027 ,15.73,-0.08,0.12368
FN    CMa *,070640.8-111738 ,5.38,5.42,0.12377
V1113 Cas  ,013211.1+603547 ,15.15,15.17,0.1239
V0589 Mon *,063928.5+094204 ,10.27,-0.05,0.124
CC    Oct *,200331.7-784951 ,8.01,-0.1,0.1249
CC    And *,004348.0+421656 ,9.19,9.46,0.1249078
NW    Pup *,071838.2-364434 ,5.11,-0.07,0.125
EF    Cru  ,125338.0-602240 ,10.17,-0.01,0.125
V0455 Vel  ,083826.7-524507 ,14.8,14.97,0.1262
CW    Hyi  ,023051.0-684205 ,16,18,0.126245
